set_number,theme,actual_growth,is_avoid,baseline_prob,f2_tuned_prob,baseline_flagged,f2_flagged
71381,Super Mario,6.61,0,0.5799593816323557,0.8737652340782459,1,1
10449,DUPLO,3.84,1,0.8543006923385716,0.9664354461308552,1,1
42617,Friends,3.3,1,0.9880388487214283,0.9983791317846555,1,1
80053,Monkie Kid,21.9,0,0.4341457302406495,0.21936839898176885,0,0
76277,Super Heroes,7.02,0,0.03254856809813418,0.010436153512260278,0,0
21259,Minecraft,6.33,0,0.14170398132064543,0.03523107794740434,0,0
71821,NINJAGO,6.78,0,0.19178045780927452,0.046335346744599486,0,0
42169,Technic,4.09,1,0.8763075729608764,0.9700552773022595,1,1
71425,Super Mario,8.2,0,0.44859908766440987,0.37989885163169457,0,1
60357,Town,3.99,1,0.9294647186372196,0.9842843493560953,1,1
10264,Creator,11.29,0,0.038606106673941286,0.009701698250642017,0,0
10265,Creator,7.13,0,0.1342099898651351,0.009113707490960434,0,0
10266,Creator,8.4,0,0.543018009488886,0.2167425505817436,1,0
10267,Creator,11.02,0,0.024256808791966664,0.0003114467008818299,0,0
10269,Creator,12.58,0,0.14689244648657843,0.02722508148002624,0,0
10766,Toy Story,15.09,0,0.22885062420733476,0.03514291316605744,0,0
10767,Toy Story,4.0,1,0.6069915371277594,0.2735780649150301,1,0
10768,Toy Story,5.22,0,0.44168185576871943,0.12796121163245702,0,0
10769,Toy Story,5.87,0,0.5718967245936902,0.38848143220870085,1,1
10770,Toy Story,5.35,0,0.8379434762479978,0.9559924278162444,1,1
10771,Toy Story,10.79,0,0.22297396338946718,0.10311078340433595,0,0
10883,DUPLO,11.78,0,0.24912476793494778,0.009129199791392567,0,0
10884,DUPLO,7.58,0,0.12480697138698425,0.027584678250804236,0,0
10885,DUPLO,12.13,0,0.44377901973712747,0.19843040038120316,0,0
10886,DUPLO,11.66,0,0.09189108604889694,0.07081407182441184,0,0
10887,DUPLO,4.94,1,0.7363290270674279,0.929763314938145,1,1
10889,DUPLO,7.8,0,0.19768787449323627,0.05195331985766565,0,0
10893,DUPLO,10.47,0,0.1100011669271291,0.009262319210976219,0,0
10895,DUPLO,7.3,0,0.2959041802232911,0.2885336778893709,0,0
10899,DUPLO,9.26,0,0.03928221935235256,0.05728687570519774,0,0
10900,DUPLO,10.7,0,0.05013359282635404,0.004158450453408743,0,0
10901,DUPLO,8.72,0,0.23048066888152546,0.05500020949467962,0,0
10902,DUPLO,10.36,0,0.10471887631173432,0.011885057557022174,0,0
10903,DUPLO,9.46,0,0.1491488529654972,0.05374416157770291,0,0
10904,DUPLO,10.38,0,0.27460968642131817,0.026970874932185473,0,0
11012,Classic,12.85,0,0.2669724026584854,0.02349999196033481,0,0
10897,DUPLO,9.62,0,0.06796417931834596,0.006199031239750362,0,0
10898,DUPLO,6.64,0,0.12900696704693698,0.020104620880663483,0,0
10910,DUPLO,9.8,0,0.44213034029445836,0.14517303434484272,0,0
11001,Classic,4.65,1,0.6872657774147117,0.9041991883190471,1,1
11002,Classic,7.51,0,0.5354010999949108,0.42278326148697226,1,1
11005,Classic,2.16,1,0.8324287543876002,0.9332455762337608,1,1
21044,Architecture,13.77,0,0.026535792450988548,0.0033412219423703503,0,0
21046,Architecture,11.44,0,0.03204216836015812,0.0013044621744512572,0,0
21148,Minecraft,15.48,0,0.08239735148269553,0.046170754142216656,0,0
21149,Minecraft,9.36,0,0.05672229081707555,0.007534005832414184,0,0
21151,Minecraft,24.82,0,0.26857748058927877,0.207448217923183,0,0
21154,Minecraft,3.39,1,0.09869677912119947,0.4703394931396413,0,1
21316,LEGO Ideas (CUUSOO),13.7,0,0.056404807156556505,0.026834358866653685,0,0
21317,LEGO Ideas (CUUSOO),9.23,0,0.09013479220276113,0.006204943273787258,0,0
11004,Classic,7.73,0,0.6042138806278632,0.5510111307272244,1,1
21043,Architecture,15.94,0,0.054357123291308096,0.011899755404250034,0,0
21055,Architecture,17.14,0,0.03579407472425993,0.0034823858730353347,0,0
21152,Minecraft,5.23,0,0.4227572604394093,0.33978176302914026,0,1
21155,Minecraft,12.46,0,0.08186034135510513,0.020812172833661054,0,0
21319,LEGO Ideas (CUUSOO),15.1,0,0.10247472601271203,0.05191513485064778,0,0
21045,Architecture,7.0,0,0.04604613540842977,0.004661420797751536,0,0
21150,Minecraft,14.55,0,0.05235985782153305,0.03874481660375554,0,0
21153,Minecraft,4.63,1,0.38754369398093513,0.8285192746238659,0,1
40367,BrickHeadz,16.29,0,0.0931479400034623,0.014490709692011485,0,0
31086,Creator,10.08,0,0.1218725837997716,0.005220267000353849,0,0
31087,Creator,3.35,1,0.8981312055527312,0.9643489801117642,1,1
31088,Creator,10.22,0,0.13937994878516577,0.0476567897936263,0,0
31089,Creator,2.91,1,0.9335431238498132,0.9960988373521338,1,1
31090,Creator,21.7,0,0.06358535482641856,0.012264760432153804,0,0
31092,Creator,13.84,0,0.04336124902164848,0.0024243695024025796,0,0
31094,Creator,8.33,0,0.33957280845661353,0.06728418017862278,0,0
31096,Creator,4.34,1,0.8508488915273067,0.9764669204058943,1,1
31098,Creator,6.76,0,0.2135146326487382,0.003810408259767322,0,0
31091,Creator,4.24,1,0.8715668525361514,0.9867302631229271,1,1
31095,Creator,2.92,1,0.9607267383431272,0.9929770036521557,1,1
31093,Creator,4.92,1,0.6984779849086564,0.6876681755350355,1,1
31097,Creator,3.38,1,0.9192897978926029,0.9897178156742792,1,1
40186,Holiday & Event,16.85,0,0.09709081359011483,0.007882874625597761,0,0
40335,LEGO Ideas (CUUSOO),10.86,0,0.012787777913414214,0.0005853200031338468,0,0
40343,Super Heroes,13.37,0,0.05994433928621628,0.015284051852932969,0,0
40345,Town,1.42,1,0.8125619783002453,0.8683627724844066,1,1
40348,BrickHeadz,6.19,0,0.2014471470401924,0.052360719166932405,0,0
40349,BrickHeadz,10.1,0,0.03228592331664955,0.01700208938515484,0,0
40350,BrickHeadz,5.2,0,0.09256074010231016,0.014031603101181678,0,0
40351,BrickHeadz,9.02,0,0.03626444142531841,0.02054337544366333,0,0
40352,BrickHeadz,6.49,0,0.03407943125039299,0.010090871699433672,0,0
40353,BrickHeadz,5.48,0,0.3212762976568996,0.10814983029761217,0,0
40354,BrickHeadz,12.59,0,0.13291541199296994,0.0870221492781394,0,0
40342,NINJAGO,8.12,0,0.03818170712836909,0.020379686440189844,0,0
40344,Collectible Minifigures,3.28,1,0.4302939112538045,0.2423428713046374,0,0
40347,LEGO Brand,3.08,1,0.8168593700924475,0.9291302703839377,1,1
75891,Speed Champions,8.79,0,0.0788586295338546,0.009433235648200786,0,0
40360,Friends,6.73,0,0.023730455234406873,0.007896337077659795,0,0
40366,LEGO Brand,3.39,1,0.150911094095352,0.11844189158425865,0,0
41165,Disney,5.03,0,0.7135503834595628,0.6336819571861956,1,1
41166,Disney,5.03,0,0.706609180371522,0.7938034199993503,1,1
41167,Disney,1.65,1,0.845700200881315,0.9723789779227572,1,1
41168,Disney,0.97,1,0.8620529194458693,0.9779316047672628,1,1
41169,Disney,0.99,1,0.9016389096400431,0.9571614207792173,1,1
41337,Friends,0.01,1,0.9910766686593765,0.9923700716196332,1,1
41354,Friends,3.26,1,0.9910457897207721,0.9992381654104637,1,1
41355,Friends,3.77,1,0.9737314820686368,0.9967018102576801,1,1
41356,Friends,3.77,1,0.9884061297358625,0.9981085360525106,1,1
41357,Friends,3.86,1,0.9577734523385326,0.9973431608665903,1,1
41358,Friends,2.25,1,0.9436593415420139,0.9941935181229176,1,1
41359,Friends,3.43,1,0.9938554576974412,0.9986710641851239,1,1
41360,Friends,2.3,1,0.9703228592928087,0.9826757197468917,1,1
41361,Friends,2.65,1,0.985917460921338,0.9988697442413979,1,1
41362,Friends,2.23,1,0.9887599062699913,0.9991412381031428,1,1
41363,Friends,1.97,1,0.9926923550490434,0.9985369421019042,1,1
